Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Remark,Minor in,HSS/BS elective
EE 322,Analog & Mixed Signal Circuits,2,1,1.5,4,Tarun Agrawal(I+T),,,,"B1,B2
 (10/202)",,"J1
(EE Lab)",,,,,
EE 323,Digital Signal Processing,3,1.5,0,4,Nithin George(I+T),,,,"E1,E2
 (10/102)","A1
 (10/102)",,,,,,
EE 333,Power Electronics,2,1,1.5,4,Pallavi Bharadwaj(I+T+L),,,,"F1,F2
 (10/202)",,"I1,K1,I2,M1
(EE Lab)",,,,,
HS XXX,HSS Elective,3,0,0,4,,,,,,,,,,,,
,Open Project Course,,,,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
7th Sem Electrical Engineering,,,,,,,,,,,,,,,,,
EE 431,Electrical Systems Laboratory,0,0,3,2,S Rajendran(L),,,,,,"K2,L2
(EE Lab)",,,,,
EE 411,Digital Signal Processing,3,1,0,4,Uttama Lahiri(I+T),,,,"E1,E2
 (10/103)","H1
 (10/201)",,,,,,
HS XXX,HSS Elective (choose from list below),,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
5th Sem Mechanical Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,Deepak Singhania(I+T),,,,"C1,C2
 (Jasubhai Auditorium)",,"N1
 (Jasubhai Auditorium,1/103)",,,,,
BS 192,Undergraduate Science Laboratory,0,0,3,3,"Krista Khaingte(L),Naveen Sisodia(L)",,,,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2
 (PH Lab)",,,,,
ES 245,Control Systems,3,1.5,0,4,Vineet Vashista(I+T),,,,"E1,E2
 (7/104)","G1
 (1/101)",,,,,,
ME 333,Mechanics of Materials,2,1,1,3,"Harini Subramanian(I+T),Harmeet Singh(L)",,,,"B1,B2
 (7/208)","I2
(7/104,7/204)","I2
(ME Lab)",,,,,
ME 334,Heat and Mass Transfer,3,1,1,4,Soumyadip Sett(I+T+L),,,,"F1,F2
 (7/108)","G2
 (7/209)","M1
(ME Lab)",,,,,
ME 3xx,Manufacturing Systems & Metrology,2,0,1.5,3,Prof. Ramakrishnan(I+L),,,,"D1,D2
 (7/102)",,"H2
(7/109)",,,,,
HS XXX,HSS Elective,,,,4,,,,,,,,,,,,
,Open Project Course,,,,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
7th Sem Mechanical Engineering,,,,,,,,,,,,,,,,,
ME 461,Integrated Design and Manufacturing II,0,1,3,2,Prof. Ramakrishnan(I+T+L),,,,"E2
 (7/108)",,"J1,L1
(7/102)",,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,Basic Science Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
5th Sem Materials Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,Deepak Singhania(I+T),,,,"C1,C2
 (Jasubhai Auditorium)",,"N1
 (Jasubhai Auditorium,1/103)",,,,,
BS 192,Undergraduate Science Laboratory,0,0,3,3,"Krista Khaingte(L),Naveen Sisodia(L)",,,,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2
 (PH Lab)",,,,,
MSE 307,Materials Processing,3,0,0,4,Pradipta Ghosh(I),,,,"F1,F2
 (7/107)",,,,,,,
MSE 313,"Polymers, Ceramics and Composites",3,0,1.5,4,Superb Misra(I+L),,,,"D1,D2
 (7/208)",,"I1
(ME Lab)",,,,,
HS XXX,HSS Elective,,,,4,,,,,,,,,,,,
,Open Project Course,,,,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
7th Sem Materials Engineering,,,,,,,,,,,,,,,,,
MSE 402,Computational Process Design,3,1,0,4,Raghavan Ranganathan(I+T),,,,"E1,E2
 (7/201)","H1
 (10/202)",,,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,Basic Science Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
Electives,,,,,,,,,,,,,,,,,
Orientation Programme: ALL New Postgraduate Students,,,,,,,,,,,,,,,,,
